session_id,dominant_regime,guarded_pnl,unguarded_pnl,blocks
2026-06-14,UNKNOWN,0,0,0
2026-06-15,UNKNOWN,3.510092,3.510092,16561
2026-06-16,UNKNOWN,1.255184,1.255184,40
2026-06-17,UNKNOWN,2.193233,2.193233,237
