cost_pct,guarded_pnl,unguarded_pnl,blocked_loss
0,10.877917,10.927917,-15118.901344
0.05,9.827917,9.852917,-15118.901344
0.1,8.777917,8.777917,-15118.901344
0.25,5.627917,5.552917,-15118.901344
0.5,0.377917,0.177917,-15118.901344
1,-10.122083,-10.572083,-15118.901344
