fold,train_sessions,test_session,train_guarded_pnl,train_unguarded_pnl,test_guarded_pnl,test_unguarded_pnl,guarded_delta,test_blocks,test_trades
leave_2026-06-14_out,4,2026-06-14,0.413443,0.413443,0,0,0,0,0
leave_2026-06-15_out,4,2026-06-15,-3.096649,-3.096649,3.510092,3.510092,0,16561,17
leave_2026-06-16_out,4,2026-06-16,-0.841741,-0.841741,1.255184,1.255184,0,40,10
leave_2026-06-17_out,4,2026-06-17,4.360333,4.360333,-3.94689,-3.94689,0,307,17
leave_2026-06-18_out,4,2026-06-18,0.818386,0.818386,-0.404943,-0.404943,0,667,3
