session_id,date,start_time,end_time,tokens,intents,trades,blocks,abstains,guarded_pnl,unguarded_pnl,blocked_loss,ledger_hash
2026-06-14,2026-06-14,,,0,0,0,0,0,0,0,0,e36b69db552ad16ac7920f1d3f7be11f39b892fdaf9337cd6558e2c7e6d14e9f
2026-06-15,2026-06-15,2026-06-15T04:55:05.402Z,2026-06-15T17:00:48.134Z,19,16578,17,16561,0,3.510092,3.510092,-15028.644669,b97b319bdfd9913bf9a68f72bfbf9d13258f4b47c60eb820f89dac3fca5ee2c7
2026-06-16,2026-06-16,2026-06-16T03:53:08.291Z,2026-06-16T08:48:59.482Z,19,50,10,40,0,1.255184,1.255184,-5.964973,354e988cfee76223e3fd5a8d182d3fb9d3b6c49d49cb58800472654476c29ace
2026-06-17,2026-06-17,2026-06-17T08:38:49.731Z,2026-06-17T23:57:22.319Z,19,324,17,307,0,-3.94689,-3.94689,-67.774925,d2788cd2d9fb36d8d31456cb24da0cd56b048afcb0d8b75b060650d8f00b4c54
2026-06-18,2026-06-18,2026-06-18T00:02:24.564Z,2026-06-18T03:37:20.158Z,19,686,3,683,0,-0.496271,-0.496271,-37.045791,bb60dd2ee0a0719b27f88d9ea6757fc7a380292c85a8126f8922666a6caac171
2026-06-24,2026-06-24,2026-06-24T14:55:57.844Z,2026-06-24T14:56:55.695Z,19,0,0,0,0,0,0,0,f6099303b76ac3ec84f96dcfc75a7afa63bdb776404a43323a6c5c3c6d446099
