run_id,champion_id,frozen_at,recording,snapshots,trades,wins,losses,net_pnl,max_drawdown,fees,session_hash,mode
forward_2026-06-24T16-10-28-823Z,perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m2,2026-06-17T16:08:20.334Z,2026-06-14,0,0,0,0,0,0,0,eac7f8ec0d565af7a855bbfb2d1692711cc9934f7470c9c7e70409e1f3f286ec,in_sample_replay
forward_2026-06-24T16-10-28-823Z,perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m2,2026-06-17T16:08:20.334Z,2026-06-15,1452,2,2,0,19.847635,3.998328,2.036551,7fd983a0c5e5232c3b46c5454ad171c8989ab346b51af022cb60768bd747ddca,in_sample_replay
forward_2026-06-24T16-10-28-823Z,perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m2,2026-06-17T16:08:20.334Z,2026-06-16,12,0,0,0,0,0,0,8b2d9f3689600657ab3c9bf72f40291be1e8e0c308320c6860589de2b74d8bc3,in_sample_replay
forward_2026-06-24T16-10-28-823Z,perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m2,2026-06-17T16:08:20.334Z,2026-06-17,183,5,4,1,27.541644,9.55736,5.10121,8845808f2429db3f54f6fa615f2733d3fa8b8785aa42818ed1c455a98039a331,in_sample_replay
forward_2026-06-24T16-10-28-823Z,perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m2,2026-06-17T16:08:20.334Z,2026-06-18,41,1,0,1,-2.049783,2.33896,0.998949,65d06499630f660fb9d1eadab61e866dc42f91312570b62c7fc6997cf56f0514,forward_oos_paper
forward_2026-06-24T16-10-28-823Z,perp_gap_fade_e0p35_x0_tp2_sl0p75_h9999_n0p5_m2,2026-06-17T16:08:20.334Z,2026-06-24,3,0,0,0,0,0,0,b71cf26ab3e7307474488aa137b0959d728347feda6865e3dcec182086ebf6fe,forward_oos_paper
