session_id,date,session_type,start_time,end_time,tokens_scanned,intents_created,trades,blocks,abstains,starting_balance,ending_balance,guarded_pnl,unguarded_pnl,guarded_vs_unguarded_delta,max_drawdown,ledger_hash,reproduce_command
2026-06-14,2026-06-14,unknown,,,0,0,0,0,0,1000.00,1000.000000,0,0,0.000000,see walkforward/fill reports,e36b69db552ad16ac7920f1d3f7be11f39b892fdaf9337cd6558e2c7e6d14e9f,npm run oos:report && npm run oos:session-bank
2026-06-15,2026-06-15,overnight_or_multi_hour,2026-06-15T04:55:05.402Z,2026-06-15T17:00:48.134Z,19,16578,17,16561,0,1000.00,1003.510092,3.510092,3.510092,0.000000,see walkforward/fill reports,b97b319bdfd9913bf9a68f72bfbf9d13258f4b47c60eb820f89dac3fca5ee2c7,npm run oos:report && npm run oos:session-bank
2026-06-16,2026-06-16,intraday_or_partial,2026-06-16T03:53:08.291Z,2026-06-16T08:48:59.482Z,19,50,10,40,0,1000.00,1001.255184,1.255184,1.255184,0.000000,see walkforward/fill reports,354e988cfee76223e3fd5a8d182d3fb9d3b6c49d49cb58800472654476c29ace,npm run oos:report && npm run oos:session-bank
2026-06-17,2026-06-17,overnight_or_multi_hour,2026-06-17T08:38:49.731Z,2026-06-17T23:57:22.319Z,19,324,17,307,0,1000.00,996.053110,-3.94689,-3.94689,0.000000,see walkforward/fill reports,d2788cd2d9fb36d8d31456cb24da0cd56b048afcb0d8b75b060650d8f00b4c54,npm run oos:report && npm run oos:session-bank
2026-06-18,2026-06-18,intraday_or_partial,2026-06-18T00:02:24.564Z,2026-06-18T03:22:39.337Z,19,670,3,667,0,1000.00,999.595057,-0.404943,-0.404943,0.000000,see walkforward/fill reports,2e97203c550f33aa9ab195f68c06a2cf7e0764cf58252e8afcad2e8524321ad0,npm run oos:report && npm run oos:session-bank
