recording,expected_pnl_from_prior_sessions,actual_pnl,error,trades
2026-06-14,0,0,0,0
2026-06-15,0,21.748713,21.748713,9
2026-06-16,10.874356,0,-10.874356,0
2026-06-17,7.249571,34.612448,27.362877,8
2026-06-18,14.09029,-1.434848,-15.525138,1
2026-06-24,10.985263,0,-10.985263,0
