config_id,source,direction,sessions,active_sessions,positive_sessions,total_pnl,avg_pnl,median_pnl,worst_pnl,max_drawdown,total_trades,total_wins,total_losses,win_rate,stability_score,robustness_score,overfit_verdict,rejection_reason
equity_gap_momentum_e0p75_x0_tp1p25_sl1p25_h9999_n0p35_m8,equity_gap,momentum,5,4,2,-20.51207,-4.102414,0,-21.779028,29.734245,23,11,12,0.478261,48.002637,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_momentum_e0p75_x0_tp1p25_sl2p5_h9999_n0p35_m5,equity_gap,momentum,5,4,2,-20.51207,-4.102414,0,-21.779028,29.734245,23,11,12,0.478261,48.002637,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_momentum_e0p75_x0_tp1p25_sl2p5_h9999_n0p35_m8,equity_gap,momentum,5,4,2,-20.51207,-4.102414,0,-21.779028,29.734245,23,11,12,0.478261,48.002637,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL
equity_gap_momentum_e0p75_x0p1_tp0p75_sl0p75_h9999_n0p2_m2,equity_gap,momentum,5,4,1,-20.577033,-4.115407,-2.073711,-13.614956,17.813332,30,14,16,0.466667,46.527913,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p5_x0p1_tp0p75_sl0p75_h9999_n0p35_m2,equity_gap,fade,5,4,1,-20.656324,-4.131265,-1.782267,-13.587863,13.587863,28,10,18,0.357143,46.416511,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp1p25_sl0p75_h9999_n0p5_m2,equity_gap,fade,5,4,1,-20.700614,-4.140123,-1.318385,-18.123778,21.276144,30,8,22,0.266667,47.416825,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp1p25_sl0p75_h9999_n0p5_m5,equity_gap,fade,5,4,1,-20.700614,-4.140123,-1.318385,-18.123778,21.276144,30,8,22,0.266667,47.416825,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp1p25_sl0p75_h9999_n0p5_m8,equity_gap,fade,5,4,1,-20.700614,-4.140123,-1.318385,-18.123778,21.276144,30,8,22,0.266667,47.416825,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp2_sl0p75_h9999_n0p5_m2,equity_gap,fade,5,4,1,-20.700614,-4.140123,-1.318385,-18.123778,21.276144,30,8,22,0.266667,47.416825,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
equity_gap_fade_e0p35_x0p1_tp2_sl0p75_h9999_n0p5_m5,equity_gap,fade,5,4,1,-20.700614,-4.140123,-1.318385,-18.123778,21.276144,30,8,22,0.266667,47.416825,0,REJECT,NON_POSITIVE_TOTAL_PNL|WORST_SESSION_LOSS_GT_5_USDT|DRAWDOWN_TOO_LARGE_VS_PNL|LOW_ACTIVE_SESSION_HIT_RATE
