recording,trades,wins,losses,net_pnl,max_drawdown,fees
2026-06-14,0,0,0,0,0,0
2026-06-15,2,2,0,19.847635,3.998328,2.036551
2026-06-16,0,0,0,0,0,0
2026-06-17,4,4,0,27.702084,1.514866,4.077252
